,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Country
0,Happy Cow Dairy,agriculture,seed,584699,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,India
1,MyLoanCare,credit,series a,950135,Gurgaon,Leading Online Loans Marketplace in India,2018,India
2,PayMe India,financial services,angel,2000000,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,India
3,Eunimart,e-commerce platforms,seed,1600000,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,India
4,Hasura,cloud infrastructure,seed,1600000,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,India
5,Tripshelf,internet,seed,233879,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,India
6,Hyperdata.IO,market research,angel,730873,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,India
7,Freightwalla,information services,seed,1600000,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,India
8,Microchip Payments,mobile payments,seed,1600000,Bengaluru,Microchip payments is a mobile-based payment application and point-of-sale device,2018,India
9,BizCrum Infotech Pvt. Ltd.,b2b,seed,1600000,Delhi,Building Transactionary B2B Marketplaces,2018,India
10,Emojifi,internet,seed,1600000,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,India
11,Flock,apps,seed,1600000,Mumbai,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,India
12,Freshboxx,food delivery,seed,1600000,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,India
13,Wide Mobility Mechatronics,industrial automation,seed,1600000,Bengaluru,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,India
14,Pitstop,automotive,seed,1461747,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,India
15,Mihuru,finance,seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,India
16,Fyle,accounting,seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018,India
17,AppWharf,artificial intelligence,seed,1600000,Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,India
18,Antariksh Waste Ventures Pvt ltd,internet of things,seed,7309,Chennai,Waste Management for Smart Cities,2018,India
19,Cogoport,air transportation,series a,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,India
20,PaisaDukan,financial services,seed,650000,Mumbai,A P2P lending marketplace platform,2018,India
21,Sleepy Owl Coffee,food and beverage,seed,511611,Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,India
22,BlueJack,autonomous vehicles,seed,935518,Delhi,Delhi-based online used vehicles marketplace.,2018,India
23,PregBuddy,enterprise software,seed,1600000,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018,India
24,AgNext Technologies,agriculture,series a,1600000,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,India
25,Pando,logistics,seed,2000000,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,India
26,Mintifi,financial services,seed,2000000,Mumbai,Online lending startup based in Mumbai.,2018,India
27,Carcrew,automotive,seed,2000000,Mumbai,India's Online Auto Repair Marketplace,2018,India
28,NicheAI,artificial intelligence,angel,1600000,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,India
29,Chariot Tech,internet of things,seed,292349,Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,India
30,Ideal Insurance Brokers/ 121Policy.com,insurance,seed,1000000,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,India
31,Loanzen,financial services,seed,1600000,Bengaluru,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,India
32,Mojro Technologies,information technology,seed,650000,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,India
33,Elemential,blockchain,seed,1000000,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,India
34,Loadshare,industrial automation,series a,5000000,Bengaluru,LoadShare is India’s fastest growing logistics company,2018,India
35,Yumlane,food and beverage,series a,4000000,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,India
36,Kriger Campus,education,seed,438524,Delhi,A Education Start Up.,2018,India
37,Pipa+Bella,e-commerce,series a,1000000,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,India
38,Kaleidofin,financial services,seed,2800000,Chennai,A fintech platform.,2018,India
39,Chakr Innovation,renewable energy,seed,1600000,Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,India
40,IndigoLearn,e-learning,seed,150000,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,India
41,UClean,clean energy,seed,584699,Faridabad,UClean is a tech enabled laundry service provider.,2018,India
42,Coutloot,e-commerce,seed,1000000,Mumbai,The Fashion Re-commerce platform.,2018,India
43,Letstrack,apps,seed,1700000,Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,India
44,Pooltoo,transportation,seed,1600000,Delhi,Pooltoo offers a premium ride sharing platform.,2018,India
45,Finzy,financial services,seed,1300000,Bengaluru,finzy is the premier peer to peer lending solution in India.,2018,India
46,Fitternity,fitness,seed,2000000,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,India
47,Keito,artificial intelligence,seed,1600000,Pune,Building an Intelligent Digital Assistant.,2018,India
48,Tolet for Students,hospitality,seed,73087,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,India
49,Chai Kings,food and beverage,seed,292349,Chennai,Chai Kings is a tea retail chain,2018,India
50,Dainik Jagran,media and entertainment,seed,584699,Kanpur,Dainik Jagran is a media and communications group.,2018,India
51,Playtoome,broadcasting,seed,292349,Bengaluru,Playtoome is a live entertainment destination,2018,India
52,ONGO Framework,b2b,angel,1000000,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,India
53,Notesgen,edtech,seed,182718,Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,India
54,Arogya MedTech,health care,seed,219262,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,India
55,Propshop24,e-commerce,seed,500000,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,India
56,myUpchar,health care,series a,5000000,Delhi,To bring health issues to people in their language.,2018,India
57,MissMalini Entertainment,fintech,seed,1520217,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,India
58,Rooter,sports,seed,657786,Delhi,Rooter is a mobile-based platform,2018,India
59,ZestMoney,big data,series a,13400000,Bengaluru,Zest is India's first completely automated consumer digital lending platform.,2018,India
60,alphaics Corporation,cloud computing,seed,1600000,Bengaluru,Advancing AI compute,2018,India
61,MyDentistChoice,health care,seed,500000,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,India
62,Sattviko,food processing,angel,1600000,Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,India
63,Sensibull,trading platform,seed,365437,Bengaluru,Investment Management Platform,2018,India
64,Bombay Shaving Company,consumer goods,series a,1600000,Delhi,Bombay Shaving Company is a Men's grooming startup,2018,India
65,MedCords,wellness,seed,385901,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,India
66,University Living,education,seed,1600000,Delhi,University Living is an online global student housing marketplace.,2018,India
67,&ME,food and beverage,seed,1600000,Bengaluru,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,India
68,Enakshi,fashion,seed,116940,Ahmedabad,Enakshi is an online apparel brand for women.,2018,India
69,Ultraviolette Automotive,automotive,series a,877,Bengaluru,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,India
70,Inthree Access,consulting,series a,4000000,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,India
71,BUGWORKS Research India,biotechnology,series a,9000000,Bengaluru,BUGWORKS is a drug discovery company.,2018,India
72,Guardian.in,health care,seed,1600000,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,India
73,PrestLoans,credit,seed,100000,Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,India
74,Wimoxez,internet,seed,20000,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,India
75,India Accelerator,communities,angel,1600000,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,India
76,HappyEMI,consumer,seed,1000000,Bengaluru,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,India
77,Wishup,consumer applications,seed,1600000,Azadpur,Premium Personal Assistance service,2018,India
78,Hansel.io,mobile,series a,4000000,Bengaluru,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,India
79,Propelld,education,seed,250000,Bengaluru,Propelld is a student education financing platform.,2018,India
80,PivotRoots,advertising,series a,1600000,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,India
81,ZiffyHomes,marketplace,seed,120000,Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,India
82,Carmesi,health care,seed,496994,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,India
83,OckyPocky,e-learning,angel,1600000,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,India
84,Racetrack,artificial intelligence,seed,4999174,Bengaluru,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,India
85,WHR,health care,seed,143145,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,India
86,Asteria Aerospace,aerospace,seed,1600000,Bengaluru,Asteria Aerospace is a robotics and artificial intelligence company.,2018,India
87,FabAlley,e-commerce,series b,8770481,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,India
88,Tranzmeo,artificial intelligence,pre-seed,1600000,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,India
89,SBI Life,insurance,private equity,742000000,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,India
90,Studds Accessories,e-commerce,private equity,14617468,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,India
91,Design Cafe,home decor,series b,29234936,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,India
92,NoPaperForms Solutions Pvt. Ltd.,edtech,series b,3980000,Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,India
93,Rays Power Infra,energy,venture - series unknown,29234936,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,India
94,AuthMetrik,b2b,grant,10000,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,India
95,Khidki,artificial intelligence,seed,1600000,Bengaluru,Vernacular Social Network Focused on Town Level Content and Interactions,2018,India
96,LetsTransport,logistics,series b,14617468,Bengaluru,Lets transport is a logistics solution provider.,2018,India
97,Next Digital Solutions,digital marketing,angel,1462,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,India
98,Portea Medical,health care,debt financing,3654367,Bengaluru,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,India
99,Aavas Financiers,finance,post-ipo debt,29234936,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,India
100,Swiggy,food delivery,series h,1000000000,Bengaluru,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,India
101,Milkbasket,e-commerce,series a,7000000,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,India
102,Nutrisattva (Proliva),fitness,angel,1600000,Anand,Nutrisattva is a protein innovation compan,2018,India
103,Toppr,edtech,series c,35000000,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,India
104,Jagaran Microfin,fintech,debt financing,8039607,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,India
105,Vivriti Capital,financial services,venture - series unknown,28500000,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,India
106,Be U Salons,apps,seed,438524,Delhi,Be U is India's first subscription based Salon Chain.,2018,India
107,Impact Guru,creative agency,series a,2000000,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,India
108,MobiKwik,consumer lending,series e,3508192,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,India
109,Stones2Milestones,e-learning,seed,1600000,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,India
110,Generico,health care,series a,1600000,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,India
111,Adiuvo Diagnostics,health diagnostics,seed,1600000,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,India
112,DataTrained,edtech,seed,1754096,Bengaluru,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,India
113,OneAssist,financial services,debt financing,2400000,Mumbai,OneAssist is a protection & assistance services platform.,2018,India
114,Satin Creditcare Network Limited (SCNL),banking,post-ipo debt,30000000,Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,India
115,APAC Financial Services,finance,private equity,36543670,Mumbai,APAC Financial Services is a financial services platform.,2018,India
116,Moglix,b2b,series c,23000000,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,India
117,SEDEMAC Mechatronics,automotive,venture - series unknown,1600000,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,India
118,MadGuy Labs,e-learning,venture - series unknown,150000,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,India
119,Dee Dee Labs,embedded systems,seed,1600000,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,India
120,FLEECA,fintech,seed,1600000,Jaipur,FLEECA is a Tyre Care Provider company.,2018,India
121,Shop101,apps,series b,11000000,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,India
122,FeedMyPockets,advertising,seed,643169,Bengaluru,On Demand Staffing Platform,2018,India
123,Housejoy,beauty,series b,3240000,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,India
124,Ambee,health care,angel,1600000,Bengaluru,Ambee is an Environment analytics startup.,2018,India
125,FoodBuddy,food delivery,seed,877048,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,India
126,Ninjacart,agtech,series b,36543670,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,India
127,Olly Smart Credit Card,credit cards,seed,1600000,Delhi,Olly is a digital credit card for India's working masses and young people.,2018,India
128,Zestl,software,seed,1600000,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,India
129,BYJU’S,edtech,private equity,540000000,Bengaluru,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,India
130,Wakefit,manufacturing,venture - series unknown,9501354,Bengaluru,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,India
131,Hero Electric,manufacturing,venture - series unknown,23387949,Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,India
132,Pentation Analytics,information services,seed,1600000,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,India
133,PerkFinance,consumer lending,seed,900000,Bengaluru,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,India
134,Roposo,internet,series c,10000000,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,India
135,Plum Goodness,beauty,series a,1600000,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,India
136,Drstore,hospital,seed,1600000,Mumbai,Drstore is a exclusive e- commerce platform.,2018,India
137,Wow Venue,events,venture - series unknown,1500000,Mumbai,Wow Venue is an online platform.,2018,India
138,Chizel,3d printing,seed,1600000,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,India
139,OTO Capital,automotive,seed,730873,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,India
140,Boodmo,automotive,seed,1023223,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,India
141,Khabri,apps,seed,1600000,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,India
142,MyNewCar.in,automotive,venture - series unknown,1000000,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,India
143,HalaPlay Technologies,digital entertainment,series a,5000000,Bengaluru,A daily fantasy sports platform.,2018,India
144,PlanetSpark,e-learning,seed,233879,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,India
145,WheelsEMI,fintech,series b,14000000,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,India
146,Forum for Innovation Incubation Research and Entrepreneurship,funding platform,grant,1498290,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,India
147,OYO,hospitality,series e,100000000,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,India
148,Quikr,classifieds,debt financing,8039607,Bengaluru,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,India
149,Tabono,sports,seed,1600000,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,India
150,LearnApp,banking,seed,292349,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,India
